3 : wiRenderer Initialized  S:1679MBV: (1679,7) 
356 : Graphics Card Used: NVIDIA GeForce RTX 3060                                             S:320MB V: (1999,9)     
6035 : IMG: languagebank\english\artwork\welcome\welcome-play.png,65167,0,0                   S:2MB   V: (4162,1028)  
6045 : IMG: languagebank\english\artwork\welcome-assets\product-example.png,65169,0,0         S:0MB   V: (4162,1028)  
6052 : IMG: languagebank\english\artwork\welcome-assets\gameguru-news-banner.png,65174,0,0    S:0MB   V: (4162,1028)  
355620 : Tried adding path 'languagebank\neutral\gamecore\huds\panels' that does not exist here: languagebank\neutral\gamecore\huds\panels S:90MB  V: (4253,1574)  
355623 : Tried adding path 'gamecore\decals\splat' that does not exist here: gamecore\decals\splat S:0MB   V: (4253,1574)  
360467 : LOAD DELAYED COMMON ASSETS                                                           S:8MB   V: (4261,1574)  
360477 : INIT TERRAIN ASSETS                                                                  S:0MB   V: (4261,1574)  
360484 : INIT GAME VISUAL ASSETS                                                              S:0MB   V: (4261,1574)  
360493 : visuals.sky$=                                                                        S:0MB   V: (4261,1574)  
360502 : visuals.terrain$=                                                                    S:0MB   V: (4261,1574)  
360510 : visuals.vegetation$=                                                                 S:0MB   V: (4261,1574)  
360659 : INIT DECAL ASSETS                                                                    S:10MB  V: (4272,1574)  
360676 : total decals=27                                                                      S:0MB   V: (4272,1574)  
360691 : SCANNING G-LIST                                                                      S:0MB   V: (4272,1574)  
360749 : gun 1:aztec\AztecDagger\gunspec.txt                                                  S:0MB   V: (4272,1574)  
360757 : gun 2:enhanced\AK\gunspec.txt                                                        S:0MB   V: (4272,1574)  
360764 : gun 3:enhanced\AR\gunspec.txt                                                        S:0MB   V: (4272,1574)  
360773 : gun 4:enhanced\B810\gunspec.txt                                                      S:0MB   V: (4272,1574)  
360780 : gun 5:enhanced\Gloves_Unarmed\gunspec.txt                                            S:0MB   V: (4272,1574)  
360788 : gun 6:enhanced\M29S\gunspec.txt                                                      S:0MB   V: (4272,1574)  
360796 : gun 7:enhanced\M67\gunspec.txt                                                       S:0MB   V: (4272,1574)  
360804 : gun 8:enhanced\Mk18\gunspec.txt                                                      S:0MB   V: (4272,1574)  
360814 : gun 9:enhanced\Mk19T\gunspec.txt                                                     S:0MB   V: (4272,1574)  
360823 : gun 10:enhanced\R870\gunspec.txt                                                     S:0MB   V: (4272,1574)  
360830 : gun 11:enhanced\SledgeHammer\gunspec.txt                                             S:0MB   V: (4272,1574)  
360837 : gun 12:interactive\swimming\gunspec.txt                                              S:0MB   V: (4272,1574)  
360844 : gun 13:lowpoly\Adamant Grand Maul\gunspec.txt                                        S:0MB   V: (4272,1574)  
360852 : gun 14:lowpoly\Ancient Greatsword\gunspec.txt                                        S:0MB   V: (4272,1574)  
360860 : gun 15:lowpoly\Arcane Warhammer\gunspec.txt                                          S:0MB   V: (4272,1574)  
360868 : gun 16:lowpoly\Broad Mattock\gunspec.txt                                             S:0MB   V: (4272,1574)  
360876 : gun 17:lowpoly\Broadhead Mallet\gunspec.txt                                          S:0MB   V: (4272,1574)  
360884 : gun 18:lowpoly\Charged Claymore\gunspec.txt                                          S:0MB   V: (4272,1574)  
360892 : gun 19:lowpoly\Chunk O Meat\gunspec.txt                                              S:0MB   V: (4272,1574)  
360899 : gun 20:lowpoly\Claymore\gunspec.txt                                                  S:0MB   V: (4272,1574)  
360906 : gun 21:lowpoly\Crude Bone Mallet\gunspec.txt                                         S:0MB   V: (4272,1574)  
